Date,Open,High,Low,Close,Volume
10/24/2013,25.25,25.25,24.68,24.925,24339
10/25/2013,24.96,25.0699,24.861,24.995,21795
10/28/2013,25.02,25.065,24.925,25.04,47473
10/29/2013,25.28,25.28,25.09,25.22,36048
10/30/2013,25.25,25.35,24.91,25.06,50198
10/31/2013,26.09,26.09,24.931,25.0,32045
11/01/2013,25.23,25.23,24.65,24.91,51618
11/04/2013,25.16,25.262,24.99,25.26,48743
11/05/2013,25.2,25.67,25.04,25.06,36977
11/06/2013,25.34,25.34,25.08,25.13,16659
11/07/2013,25.25,25.25,24.7,24.73,43836
11/08/2013,24.89,25.13,24.75,25.13,34565
11/11/2013,25.3,25.3,25.1,25.1793,40610
11/12/2013,25.26,25.26,24.9,24.92,22227
11/13/2013,24.98,25.11,24.83,25.11,45571
11/14/2013,25.28,25.3,25.14,25.3,22759
11/15/2013,25.49,25.49,25.31,25.48,49364
11/18/2013,25.65,25.65,25.2,25.25,65605
11/19/2013,25.33,25.36,25.15,25.25,35473
11/20/2013,25.37,25.43,25.15,25.2099,40873
11/21/2013,25.37,25.45,25.25,25.43,43740
11/22/2013,25.57,25.57,25.37,25.55,47463
11/25/2013,25.64,25.64,25.23,25.34,49719
11/26/2013,25.44,25.44,25.2101,25.28,22114
11/27/2013,25.4,25.4,24.971,25.08,36302
11/29/2013,25.02,25.251,25.0,25.07,13809
12/02/2013,25.15,25.215,24.95,25.031,16391
12/03/2013,25.07,25.18,24.97,25.1399,33268
12/04/2013,25.15,25.159,24.88,25.05,20659
12/05/2013,25.1,25.1,24.94,25.02,13862
12/06/2013,25.19,25.2,25.05,25.05,19999
12/09/2013,25.16,25.16,25.02,25.06,26944
12/10/2013,25.14,25.14,25.0,25.06,27709
12/11/2013,25.09,25.09,24.6,24.63,48693
12/12/2013,24.68,24.81,24.63,24.75,17888
12/13/2013,24.69,24.6922,24.55,24.68,17079
12/16/2013,24.99,24.99,24.74,24.9,34605
12/17/2013,24.98,24.98,24.6801,24.75,22336
12/18/2013,24.97,25.15,24.735,25.15,18075
12/19/2013,25.23,25.23,25.031,25.21,20556
12/20/2013,25.3,25.38,25.16,25.38,23159
12/23/2013,25.46,25.46,25.19,25.22,88096
12/24/2013,25.14,25.38,25.14,25.351,23755
12/26/2013,25.4,25.5899,25.4,25.56,63869
12/27/2013,25.73,25.73,25.56,25.7,35277
12/30/2013,25.72,25.75,25.45,25.51,67293
12/31/2013,25.64,25.7699,25.53,25.76,36300
01/02/2014,25.66,25.66,25.29,25.3799,62067
01/03/2014,25.44,25.471,25.23,25.3,47918
01/06/2014,25.48,25.48,25.1968,25.29,62622
01/07/2014,25.45,25.485,25.231,25.475,37698
01/08/2014,25.58,25.58,25.251,25.29,26668
01/09/2014,25.4,25.4,25.051,25.221,38101
01/10/2014,25.32,25.32,25.1,25.251,27106
01/13/2014,25.29,25.29,24.74,24.789,102627
01/14/2014,24.92,25.1,24.871,25.1,107116
01/15/2014,25.2,25.2,25.001,25.01,25052
01/16/2014,25.0,25.05,24.901,25.04,45197
01/17/2014,25.17,25.25,25.0,25.029,37313
01/21/2014,25.22,25.22,25.0099,25.16,29889
01/22/2014,25.27,25.315,25.1699,25.315,28752
01/23/2014,25.22,25.22,24.89,25.0,37204
01/24/2014,24.88,24.88,24.47,24.51,57229
01/27/2014,24.56,24.56,24.2,24.389,40178
01/28/2014,24.371,24.59,24.371,24.58,60980
01/29/2014,24.41,24.559,24.29,24.43,24939
01/30/2014,24.6,24.6,24.3428,24.45,24873
01/31/2014,24.25,24.35,24.03,24.14,27710
02/03/2014,24.08,24.205,23.68,23.7,100504
02/04/2014,23.79,23.99,23.7101,23.89,25929
02/05/2014,23.88,23.88,23.66,23.69,21678
02/06/2014,23.68,24.079,23.68,24.02,15343
02/07/2014,24.23,24.3099,24.07,24.29,19393
02/10/2014,24.35,24.35,24.08,24.14,19293
02/11/2014,24.1,24.55,24.1,24.5,47684
02/12/2014,24.66,24.66,24.469,24.49,30177
02/13/2014,24.36,24.68,24.33,24.6,17999
02/14/2014,24.66,25.0,24.66,24.96,76319
02/18/2014,25.07,25.12,24.95,25.07,51050
02/19/2014,25.11,25.32,25.0501,25.07,44031
02/20/2014,25.14,25.29,25.0701,25.26,26065
02/21/2014,25.36,25.36,25.11,25.11,55650
02/24/2014,25.32,25.71,25.28,25.46,42112
02/25/2014,25.49,25.52,25.31,25.4501,24071
02/26/2014,25.57,25.57,25.28,25.33,21138
02/27/2014,25.35,25.35,25.2,25.302,22655
02/28/2014,25.33,25.57,25.33,25.44,14645
03/03/2014,25.38,25.579,25.26,25.31,39156
03/04/2014,25.75,25.75,25.499,25.62,26958
03/05/2014,25.54,25.56,25.3,25.35,41561
03/06/2014,25.39,25.5,25.3499,25.5,19222
03/07/2014,25.64,25.64,25.48,25.59,21891
03/10/2014,25.59,25.62,25.43,25.62,31568
