,ASSR_week_b2_rank,ASSR_week_b1_rank,Sharpe_Omega_week_rank,Riskiness_week_uniform_rank,Riskiness_week_fitpdf_rank
0,GUSH,GUSH,KOL,ENY,ERY
1,GASL,GASL,NLR,MLPO,DRIP
2,DRIP,DRIP,CRAK,PUW,GASL
3,GASX,GASX,YLCO,ERY,ERX
4,ERY,ERY,FAN,GASX,MLPB
5,PXJ,PXJ,ICLN,GUSH,DIG
6,DUG,DUG,TPYP,GASL,AMUB
7,OIH,OIH,CHIE,DRIP,AMZA
8,XES,XES,EMLP,MLPB,MLPG
9,PSCE,PSCE,GEX,AMU,GASX
10,IEZ,IEZ,PZD,ERX,GRID
11,DDG,DDG,QCLN,FXN,DDG
12,FCG,FCG,ENFR,MLPC,CRAK
13,TAN,TAN,IXC,PXI,EMLP
14,ERX,ERX,PBD,IMLP,FAN
15,FXN,FXN,PUW,PBW,GUSH
16,PXE,PXE,FILL,MLPA,NLR
17,FRAK,FRAK,MLPX,OIH,TPYP
18,PXI,PXI,ENY,AMLP,GEX
19,XOP,XOP,GRID,PXE,PZD
20,DIG,DIG,PBW,MLPI,PBD
21,AMZA,AMZA,ATMP,FRAK,IXC
22,FENY,FENY,MLPB,IEZ,YLCO
23,GREK,GREK,MLPC,DUG,FILL
24,ZMLP,ZMLP,YMLI,YMLI,ENY
25,IEO,IEO,AMJ,PXJ,QCLN
26,MLPI,MLPI,MLPG,XOP,PUW
27,AMLP,AMLP,YMLP,ZMLP,XLE
28,ICLN,ICLN,AMU,FCG,ENFR
29,RYE,RYE,IMLP,XES,KOL
30,MLPA,MLPA,IEO,ATMP,IYE
31,MLPC,MLPC,RYE,YMLP,ICLN
32,AMJ,AMJ,AMUB,FAN,RYE
33,AMU,AMU,XLE,TAN,VDE
34,YMLP,YMLP,DDG,MLPY,GREK
35,IYE,IYE,TAN,PSCE,IEO
36,IMLP,IMLP,MLPI,MLPG,MLPX
37,PBD,PBD,VDE,AMZA,FENY
38,VDE,VDE,MLPY,DIG,AMJ
39,MLPY,MLPY,AMLP,AMUB,CHIE
40,MLPB,MLPB,MLPA,EMLP,AMU
41,MLPG,MLPG,DUG,DDG,FXN
42,XLE,XLE,IYE,GRID,MLPC
43,YMLI,YMLI,ZMLP,TPYP,PXI
44,PBW,PBW,FXN,GEX,IMLP
45,AMUB,AMUB,MLPO,PZD,PBW
46,GEX,GEX,FRAK,PBD,MLPA
47,ATMP,ATMP,PXE,IXC,OIH
48,CHIE,CHIE,FENY,YLCO,AMLP
49,MLPX,MLPX,XOP,FILL,PXE
50,QCLN,QCLN,AMZA,QCLN,MLPI
51,IXC,IXC,GREK,XLE,FRAK
52,FAN,FAN,DIG,ENFR,IEZ
53,ENFR,ENFR,IEZ,KOL,DUG
54,FILL,FILL,PXI,IYE,YMLI
55,GRID,GRID,FCG,ICLN,PXJ
56,YLCO,YLCO,ERX,RYE,XOP
57,NLR,NLR,OIH,VDE,MLPO
58,EMLP,EMLP,PXJ,GREK,ZMLP
59,PZD,PZD,PSCE,IEO,FCG
60,TPYP,TPYP,XES,MLPX,XES
61,CRAK,CRAK,DRIP,FENY,ATMP
62,KOL,KOL,GASX,AMJ,YMLP
63,PUW,PUW,GASL,CHIE,TAN
64,ENY,ENY,GUSH,NLR,MLPY
65,MLPO,MLPO,ERY,CRAK,PSCE
