,Ranking,ASSR_week_b2_rank,ASSR_week_b1_rank,ASSR_month_b2_rank,ASSR_month_b1_rank
0,0,GUSH,GUSH,GUSH,GASL
1,1,GASL,GASL,GASL,GUSH
2,2,DRIP,DRIP,DRIP,DRIP
3,3,GASX,GASX,GASX,GASX
4,4,ERY,ERY,ERY,PXJ
5,5,PXJ,PXJ,PXJ,DDG
6,6,DUG,DUG,DDG,ERY
7,7,OIH,OIH,OIH,DUG
8,8,XES,XES,DUG,OIH
9,9,PSCE,PSCE,XES,XES
10,10,IEZ,IEZ,IEZ,IEZ
11,11,DDG,DDG,PSCE,PSCE
12,12,FCG,FCG,FCG,FCG
13,13,TAN,TAN,TAN,TAN
14,14,ERX,ERX,PXE,FXN
15,15,FXN,FXN,FXN,PXE
16,16,PXE,PXE,FRAK,FRAK
17,17,FRAK,FRAK,FENY,FENY
18,18,PXI,PXI,PXI,PXI
19,19,XOP,XOP,ICLN,ICLN
20,20,DIG,DIG,PBD,PBD
21,21,AMZA,AMZA,XOP,XOP
22,22,FENY,FENY,ERX,ERX
23,23,GREK,GREK,AMLP,AMLP
24,24,ZMLP,ZMLP,ZMLP,ZMLP
25,25,IEO,IEO,MLPC,MLPC
26,26,MLPI,MLPI,MLPI,MLPI
27,27,AMLP,AMLP,AMJ,AMJ
28,28,ICLN,ICLN,MLPA,MLPA
29,29,RYE,RYE,AMU,AMU
30,30,MLPA,MLPA,AMZA,AMZA
31,31,MLPC,MLPC,IYE,GREK
32,32,AMJ,AMJ,GREK,IYE
33,33,AMU,AMU,YMLP,YMLP
34,34,YMLP,YMLP,IEO,IEO
35,35,IYE,IYE,RYE,RYE
36,36,IMLP,IMLP,DIG,DIG
37,37,PBD,PBD,VDE,VDE
38,38,VDE,VDE,GEX,GEX
39,39,MLPY,MLPY,XLE,XLE
40,40,MLPB,MLPB,IMLP,IMLP
41,41,MLPG,MLPG,PBW,PBW
42,42,XLE,XLE,MLPY,MLPY
43,43,YMLI,YMLI,MLPG,MLPG
44,44,PBW,PBW,YMLI,YMLI
45,45,AMUB,AMUB,AMUB,AMUB
46,46,GEX,GEX,FAN,FAN
47,47,ATMP,ATMP,NLR,NLR
48,48,CHIE,CHIE,MLPB,MLPB
49,49,MLPX,MLPX,IXC,IXC
50,50,QCLN,QCLN,CHIE,CHIE
51,51,IXC,IXC,QCLN,QCLN
52,52,FAN,FAN,MLPX,MLPX
53,53,ENFR,ENFR,ATMP,ATMP
54,54,FILL,FILL,EMLP,EMLP
55,55,GRID,GRID,GRID,GRID
56,56,YLCO,YLCO,YLCO,YLCO
57,57,NLR,NLR,FILL,FILL
58,58,EMLP,EMLP,ENFR,ENFR
59,59,PZD,PZD,PZD,PZD
60,60,TPYP,TPYP,TPYP,TPYP
61,61,CRAK,CRAK,CRAK,CRAK
62,62,KOL,KOL,KOL,KOL
63,63,PUW,PUW,PUW,PUW
64,64,ENY,ENY,ENY,ENY
65,65,MLPO,MLPO,MLPO,MLPO
