,Riskiness_week_uniform_rank,Riskiness_week_fitpdf_rank,Sharpe_Omega_week_rank
0,ENY,ERY,KOL
1,MLPO,DRIP,NLR
2,PUW,GASL,CRAK
3,ERY,ERX,YLCO
4,GASX,MLPB,FAN
5,GUSH,DIG,ICLN
6,GASL,AMUB,TPYP
7,DRIP,AMZA,CHIE
8,MLPB,MLPG,EMLP
9,AMU,GASX,GEX
10,ERX,GRID,PZD
11,FXN,DDG,QCLN
12,MLPC,CRAK,ENFR
13,PXI,EMLP,IXC
14,IMLP,FAN,PBD
15,PBW,GUSH,PUW
16,MLPA,NLR,FILL
17,OIH,TPYP,MLPX
18,AMLP,GEX,ENY
19,PXE,PZD,GRID
20,MLPI,PBD,PBW
21,FRAK,IXC,ATMP
22,IEZ,YLCO,MLPB
23,DUG,FILL,MLPC
24,YMLI,ENY,YMLI
25,PXJ,QCLN,AMJ
26,XOP,PUW,MLPG
27,ZMLP,XLE,YMLP
28,FCG,ENFR,AMU
29,XES,KOL,IMLP
30,ATMP,IYE,IEO
31,YMLP,ICLN,RYE
32,FAN,RYE,AMUB
33,TAN,VDE,XLE
34,MLPY,GREK,DDG
35,PSCE,IEO,TAN
36,MLPG,MLPX,MLPI
37,AMZA,FENY,VDE
38,DIG,AMJ,MLPY
39,AMUB,CHIE,AMLP
40,EMLP,AMU,MLPA
41,DDG,FXN,DUG
42,GRID,MLPC,IYE
43,TPYP,PXI,ZMLP
44,GEX,IMLP,FXN
45,PZD,PBW,MLPO
46,PBD,MLPA,FRAK
47,IXC,OIH,PXE
48,YLCO,AMLP,FENY
49,FILL,PXE,XOP
50,QCLN,MLPI,AMZA
51,XLE,FRAK,GREK
52,ENFR,IEZ,DIG
53,KOL,DUG,IEZ
54,IYE,YMLI,PXI
55,ICLN,PXJ,FCG
56,RYE,XOP,ERX
57,VDE,MLPO,OIH
58,GREK,ZMLP,PXJ
59,IEO,FCG,PSCE
60,MLPX,XES,XES
61,FENY,ATMP,DRIP
62,AMJ,YMLP,GASX
63,CHIE,TAN,GASL
64,NLR,MLPY,GUSH
65,CRAK,PSCE,ERY
